;Халява в Томске;Знай Город;Я живу [В] Томске;Риа новости в Томске;Жесть Томска;Типичный Томск;Шесть рукопожатий;О Томске;Регион-70;Томский обзор;Томская афиша;Я люблю Томск;Новости «В Томске»;Томск в курсе;Томские.ру
Халява в Томске;0;3;0;0;0;0;1;0;0;1;3;0;0;0;0
Знай Город;1;0;1;0;0;2;0;4;0;2;3;0;0;2;0
Я живу [В] Томске;0;2;0;1;0;0;0;0;1;0;0;0;0;0;1
Риа новости в Томске;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Жесть Томска;0;0;0;1;0;0;0;0;4;0;0;0;0;0;1
Типичный Томск;0;0;1;0;1;0;3;0;0;0;0;0;0;0;1
Шесть рукопожатий;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
О Томске;0;2;1;1;0;1;1;0;1;1;1;0;1;1;0
Регион-70;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0
Томский обзор;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0
Томская афиша;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0
Я люблю Томск;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Новости «В Томске»;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
Томск в курсе;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
Томские.ру;1;1;0;0;0;1;0;1;0;0;0;;0;0;0
